,ArchiveSize,DE,ElapsedTime,Improvements,NFE,PCX,PopulationSize,Restarts,SBX,SPX,UM,UNDX
93,15,0.047619047619,447.840226147,67,566,0.142857142857,36,1,0.238095238095,0.142857142857,0.285714285714,0.142857142857
94,15,0.047619047619,452.144663062,67,572,0.142857142857,36,1,0.238095238095,0.142857142857,0.285714285714,0.142857142857
95,15,0.047619047619,455.76409452,67,577,0.142857142857,36,1,0.238095238095,0.142857142857,0.285714285714,0.142857142857
96,15,0.047619047619,460.032783656,67,583,0.142857142857,36,1,0.238095238095,0.142857142857,0.285714285714,0.142857142857
97,15,0.047619047619,463.651709653,67,588,0.142857142857,36,1,0.238095238095,0.142857142857,0.285714285714,0.142857142857
98,15,0.047619047619,467.181192656,67,593,0.142857142857,36,1,0.238095238095,0.142857142857,0.285714285714,0.142857142857
99,15,0.047619047619,471.388691132,67,599,0.142857142857,36,1,0.238095238095,0.142857142857,0.285714285714,0.142857142857
100,15,0.047619047619,474.886867639,68,604,0.142857142857,36,1,0.238095238095,0.142857142857,0.285714285714,0.142857142857
101,15,0.047619047619,479.211519432,68,610,0.142857142857,36,1,0.238095238095,0.142857142857,0.285714285714,0.142857142857
102,15,0.047619047619,482.705507832,69,615,0.142857142857,36,1,0.238095238095,0.142857142857,0.285714285714,0.142857142857
103,15,0.047619047619,487.033035049,69,621,0.142857142857,36,1,0.238095238095,0.142857142857,0.285714285714,0.142857142857
104,15,0.047619047619,490.487134365,70,626,0.142857142857,36,1,0.238095238095,0.142857142857,0.285714285714,0.142857142857
105,15,0.047619047619,524.817008366,70,675,0.142857142857,60,2,0.238095238095,0.142857142857,0.285714285714,0.142857142857
106,15,0.047619047619,528.305680509,70,680,0.142857142857,60,2,0.238095238095,0.142857142857,0.285714285714,0.142857142857
107,15,0.047619047619,532.63542079,70,686,0.142857142857,60,2,0.238095238095,0.142857142857,0.285714285714,0.142857142857
108,15,0.047619047619,536.101340497,70,691,0.142857142857,60,2,0.238095238095,0.142857142857,0.285714285714,0.142857142857
109,15,0.047619047619,539.62172208,70,696,0.142857142857,60,2,0.238095238095,0.142857142857,0.285714285714,0.142857142857
110,15,0.047619047619,543.971164201,70,702,0.142857142857,60,2,0.238095238095,0.142857142857,0.285714285714,0.142857142857
111,15,0.047619047619,547.471846172,70,707,0.142857142857,60,2,0.238095238095,0.142857142857,0.285714285714,0.142857142857
112,13,0.047619047619,550.996088694,71,712,0.142857142857,60,2,0.238095238095,0.142857142857,0.285714285714,0.142857142857
113,13,0.047619047619,554.514540699,71,717,0.142857142857,60,2,0.238095238095,0.142857142857,0.285714285714,0.142857142857
114,14,0.047619047619,557.992514362,72,722,0.142857142857,60,2,0.238095238095,0.142857142857,0.285714285714,0.142857142857
115,14,0.047619047619,561.555652428,72,727,0.142857142857,60,2,0.238095238095,0.142857142857,0.285714285714,0.142857142857
116,15,0.047619047619,565.13053734,73,732,0.142857142857,60,2,0.238095238095,0.142857142857,0.285714285714,0.142857142857
117,15,0.047619047619,568.625445287,75,737,0.142857142857,60,2,0.238095238095,0.142857142857,0.285714285714,0.142857142857
118,15,0.047619047619,572.825587387,75,743,0.142857142857,60,2,0.238095238095,0.142857142857,0.285714285714,0.142857142857
119,15,0.047619047619,576.98569866,75,749,0.142857142857,60,2,0.238095238095,0.142857142857,0.285714285714,0.142857142857
120,15,0.047619047619,580.580371438,75,754,0.142857142857,60,2,0.238095238095,0.142857142857,0.285714285714,0.142857142857
121,15,0.047619047619,584.078313489,75,759,0.142857142857,60,2,0.238095238095,0.142857142857,0.285714285714,0.142857142857
122,15,0.047619047619,588.270875009,75,765,0.142857142857,60,2,0.238095238095,0.142857142857,0.285714285714,0.142857142857
123,15,0.0526315789474,591.72535097,75,770,0.0526315789474,60,2,0.157894736842,0.263157894737,0.368421052632,0.105263157895
124,15,0.0526315789474,595.211983886,77,775,0.0526315789474,60,2,0.157894736842,0.263157894737,0.368421052632,0.105263157895
125,15,0.0526315789474,598.708274497,77,780,0.0526315789474,60,2,0.157894736842,0.263157894737,0.368421052632,0.105263157895
126,15,0.0526315789474,602.910087649,77,786,0.0526315789474,60,2,0.157894736842,0.263157894737,0.368421052632,0.105263157895
127,15,0.0526315789474,607.127583914,77,792,0.0526315789474,60,2,0.157894736842,0.263157894737,0.368421052632,0.105263157895
